seed	v_scale	rms	max_abs	rel_rms
1	0.0	3.1474e+00	5.3405e+00	2.9220e+00
1	0.1	2.5641e+00	5.4288e+00	2.3805e+00
2	0.0	3.1983e+00	6.7757e+00	2.9039e+00
2	0.1	2.6269e+00	6.0917e+00	2.3851e+00
3	0.0	3.2829e+00	6.4976e+00	3.0687e+00
3	0.1	2.5336e+00	5.1258e+00	2.3683e+00
4	0.0	3.1829e+00	8.0265e+00	3.1963e+00
4	0.1	2.2435e+00	6.1909e+00	2.2529e+00
5	0.0	3.0841e+00	5.9032e+00	2.7789e+00
5	0.1	2.6160e+00	5.5554e+00	2.3572e+00
mean	0.0	3.1791e+00	6.5087e+00	2.9740e+00
mean	0.1	2.5168e+00	5.6785e+00	2.3488e+00
# 5 seeds, torus/eikonal/srm, k=128, steps=800, res=80, densify off
# rel_rms improvement (mean 0.0 -> mean 0.1): -21.0%
